"ID_UC0","NOME_UC1","ID_WCMC2","CATEGORI3","GRUPO4","ESFERA5","ANO_CRIA6","GID7","QUALIDAD8","ATO_LEGA9","DT_ULTIM10","CODIGO_U11","NOME_ORG12","decimalLongitude","decimalLatitude"
"185","PARQUE NACIONAL MARINHO DOS ABROLHOS","81060","Parque","PI","federal","1983","1839","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 88218 de 06/04/1983","29/11/2007","0000.00.0185","Instituto Chico Mendes de Conservação da Biodiversidade",-38.6627387874287,-17.9750692428766
"1786","PARQUE NATURAL MUNICIPAL BOSQUE DA BARRA",NA,"Parque","PI","municipal","1983","3168","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Decreto nº 4105 de 06/06/1983","29/12/2016","0455.33.1786","Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ",-43.3710478396461,-22.995983868885
"2660","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GÁLIA",NA,"Reserva Particular do Patrimônio Natural","US","federal","2012","6814","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 69 de 15/06/2012","01/08/2014","0000.00.2660","Instituto Chico Mendes de Conservação da Biodiversidade",-38.9302987723967,-4.24891816939905
"901","PARQUE ESTADUAL MATA DO PAU FERRO","41082","Parque","PI","estadual","2005","5767","Esquemático (O poligono é uma representação esquemática da dimensão da unidade).","Decreto nº 26098 de 05/08/2005","13/02/2019","0000.25.0901","Superintendência de Administração do Meio Ambiente da Paraíba - PB",-35.7500745895454,-6.97860996542143
"3089","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALTO DA BOA VISTA - RESGATE VIII",NA,"Reserva Particular do Patrimônio Natural","US","federal","2012","10684","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Portaria nº 97 de 10/09/2012","01/08/2014","0000.00.3089","Instituto Chico Mendes de Conservação da Biodiversidade",-42.5629287491408,-22.1898348441406
"2143","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NOSSA SENHORA APARECIDA",NA,"Reserva Particular do Patrimônio Natural","US","federal","2008","9574","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Portaria nº 70 de 10/09/2008","26/08/2011","0000.00.2143","Instituto Chico Mendes de Conservação da Biodiversidade",-42.4874287904278,-22.1191113055275
"1736","PARQUE ESTADUAL DO MATUPIRI",NA,"Parque","PI","estadual","2009","4624","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 28.424 de 30/03/2009","04/02/2016","0000.13.1736","Secretaria de Estado do Meio Ambiente do Amazonas",-61.2389672618837,-5.17119587253845
"1665","RESERVA PARTICULAR DO PATRIMôNIO NATURAL XODó DO Vô RUY",NA,"Reserva Particular do Patrimônio Natural","US","estadual","2006","2641","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Resolução nº 46 de 14/11/2006","23/09/2016","0000.50.1665","Instituto de Meio Ambiente do Mato Grosso do Sul",-56.0049199482275,-21.8376993983903
"1713","APA RIO PARDINHO E RIO VERMELHO",NA,"Área de Proteção Ambiental","US","estadual","2008","4577","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Lei ordinária nº 12810 de 21/02/2008","17/09/2015","0000.35.1713","Fundação para Conservação e a Produção Florestal do Estado de São Paulo",-48.5504016952404,-25.0530253489234
"1690","RDS LAVRAS",NA,"Reserva de Desenvolvimento Sustentável","US","estadual","2008","4585","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Lei ordinária nº 12810 de 21/02/2008","30/09/2015","0000.35.1690","Fundação para Conservação e a Produção Florestal do Estado de São Paulo",-48.2450296544164,-24.7715373574915
